date,ticker,price
2024-01-01,AAPL,148.713927739229
2024-01-02,AAPL,147.96475687924573
2024-01-03,AAPL,147.69218722200262
2024-01-04,AAPL,147.5657474984991
2024-01-05,AAPL,147.70428017872
2024-01-06,AAPL,149.33791191167438
2024-01-07,AAPL,148.51613620765858
2024-01-08,AAPL,150.56769829538544
2024-01-09,AAPL,150.58562143903313
2024-01-10,AAPL,149.8431955264024
2024-01-11,AAPL,149.93474711434027
2024-01-12,AAPL,147.63870635446236
2024-01-13,AAPL,146.54804215070092
2024-01-14,AAPL,147.50381895551064
2024-01-15,AAPL,147.77648518345438
2024-01-16,AAPL,149.04679798963537
2024-01-17,AAPL,149.269897240078
2024-01-18,AAPL,148.2344785773499
2024-01-19,AAPL,146.19624168850405
2024-01-20,AAPL,147.93823465022635
