symbol,underlying_symbol,strike,expiration_date,contract_type,implied_volatility,open_interest,volume,bid,ask,last_price,market_price,underlying_price,risk_free_rate,fetch_timestamp,time_to_expiry,data_source,simulated_trade_date,moneyness,bs_price,pricing_error,relative_error,abs_pricing_error,relative_error_robust,bid_ask_spread,relative_spread,log_moneyness,sqrt_time,vega_proxy,liquidity_score,is_call,is_put,itm,otm,atm
SPY20250825C00530000,SPY,530.0,2025-08-25,call,0.84179845703125,11.0,11.0,113.98,116.78,106.25,115.38,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.712793,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.2175660331294222,115.369374912828,0.010625087172002168,9.209625327371655e-05,0.010625087172002168,,2.799999999999997,0.02426763737216153,0.19685381116046316,0.05234239225902079,28.433484584814536,4.969813299576001,1,0,1,0,0
SPY20250825C00550000,SPY,550.0,2025-08-25,call,0.70312796875,2.0,2.0,93.98,96.79,96.12,95.385,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.712793,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.1732909046519886,95.37162618386242,0.013373816137587369,0.00014022845863826024,0.013373816137587369,,2.8100000000000023,0.029459558630811993,0.15981253948011398,0.05234239225902079,23.749601930979672,2.1972245773362196,1,0,1,0,0
SPY20250825C00570000,SPY,570.0,2025-08-25,call,0.5654340332031251,2.0,240.0,73.99,76.79,75.03,75.39,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.712793,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.132122802734375,75.37388665840808,0.01611334159191813,0.00021377883384126456,0.01611334159191813,,2.8000000000000114,0.03714020427112364,0.12409445687803483,0.05234239225902079,19.09870436625632,6.583409222158765,1,0,1,0,0
SPY20250825C00580000,SPY,580.0,2025-08-25,call,0.813478427734375,3.0,233.0,63.99,66.8,66.14,65.395,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.712793,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.1126034440665409,65.425773654659,-0.030773654659000726,-0.0004703598129604895,0.030773654659000726,,2.809999999999995,0.042969645997400344,0.10670271416616554,0.05234239225902079,27.476917000580652,6.8416154764775925,1,0,1,0,0
SPY20250825C00590000,SPY,590.0,2025-08-25,call,0.710940390625,1.0,284.0,53.99,56.8,55.93,55.395,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.713785,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.0937457585738877,55.43648044672193,-0.04148044672192697,-0.0007482518079731338,0.04148044672192697,,2.809999999999995,0.05072659987363472,0.08960828080686545,0.05234239225902079,24.013482643871775,6.345636360828596,1,0,1,0,0
SPY20250825C00600000,SPY,600.0,2025-08-25,call,0.5493209130859377,21.0,15.0,44.0,46.3,45.0,45.15,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.713785,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.0755166625976562,45.4092568267082,-0.25925682670820294,-0.005709338686109409,0.25925682670820294,,2.299999999999997,0.05094130675526018,0.07280116249048423,0.05234239225902079,18.554450395916355,5.863631175598098,1,0,1,0,0
SPY20250825C00605000,SPY,605.0,2025-08-25,call,0.5562788513183594,5.0,8.0,39.0,41.81,40.41,40.405,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.713785,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.0666280951381717,40.46192927180812,-0.0569292718081158,-0.001406983622201656,0.0569292718081158,,2.8100000000000023,0.06954584828610326,0.06450235967578916,0.05234239225902079,18.78946915583588,3.9889840465642745,1,0,1,0,0
SPY20250825C00608000,SPY,608.0,2025-08-25,call,0.5236864038085938,3.0,1.0,36.0,38.8,36.11,37.4,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.714803,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.0613651275634766,37.46769405684893,-0.0676940568489286,-0.0018067313335648001,0.0676940568489286,,2.799999999999997,0.07486631016042773,0.05955593574046362,0.05234239225902079,17.688591806739133,2.0794415416798357,1,0,1,0,0
SPY20250825C00609000,SPY,609.0,2025-08-25,call,0.5129443237304687,43.0,36.0,35.0,37.8,36.21,36.4,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.714803,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.05962232768242,36.469995555089326,-0.06999555508932787,-0.0019192641519135065,0.06999555508932787,,2.799999999999997,0.07692307692307684,0.05791254999673358,0.05234239225902079,17.325755826512484,7.395107546562485,1,0,1,0,0
SPY20250825C00610000,SPY,610.0,2025-08-25,call,0.5024463818359376,33.0,14.0,34.0,36.8,35.32,35.4,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.714803,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.057885241899334,35.472759889935105,-0.07275988993510651,-0.0020511482659050476,0.07275988993510651,,2.799999999999997,0.07909604519774004,0.05627186053927376,0.05234239225902079,16.971166118563723,6.234410725718371,1,0,1,0,0
