symbol,underlying_symbol,strike,expiration_date,contract_type,implied_volatility,open_interest,volume,bid,ask,last_price,market_price,underlying_price,risk_free_rate,fetch_timestamp,time_to_expiry,data_source,simulated_trade_date,moneyness,bs_price,pricing_error,relative_error,abs_pricing_error,relative_error_robust,bid_ask_spread,relative_spread,log_moneyness,sqrt_time,vega_proxy,liquidity_score,is_call,is_put,itm,otm,atm
SPY20250825C00530000,SPY,530.0,2025-08-25,call,0.84179845703125,11.0,11.0,113.98,116.78,106.25,115.38,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.712793,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.2175660331294222,115.369374912828,0.0106250871720021,9.209625327371655e-05,0.0106250871720021,,2.799999999999997,0.0242676373721615,0.1968538111604631,0.0523423922590207,28.433484584814536,4.969813299576001,1,0,1,0,0
SPY20250825C00550000,SPY,550.0,2025-08-25,call,0.70312796875,2.0,2.0,93.98,96.79,96.12,95.385,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.712793,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.1732909046519886,95.37162618386242,0.0133738161375873,0.0001402284586382,0.0133738161375873,,2.8100000000000023,0.0294595586308119,0.1598125394801139,0.0523423922590207,23.749601930979672,2.19722457733622,1,0,1,0,0
SPY20250825C00570000,SPY,570.0,2025-08-25,call,0.5654340332031251,2.0,240.0,73.99,76.79,75.03,75.39,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.712793,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.132122802734375,75.37388665840808,0.0161133415919181,0.0002137788338412,0.0161133415919181,,2.800000000000012,0.0371402042711236,0.1240944568780348,0.0523423922590207,19.09870436625632,6.583409222158765,1,0,1,0,0
SPY20250825C00580000,SPY,580.0,2025-08-25,call,0.813478427734375,3.0,233.0,63.99,66.8,66.14,65.395,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.712793,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.1126034440665409,65.425773654659,-0.0307736546590007,-0.0004703598129604,0.0307736546590007,,2.809999999999995,0.0429696459974003,0.1067027141661655,0.0523423922590207,27.47691700058065,6.8416154764775925,1,0,1,0,0
SPY20250825C00590000,SPY,590.0,2025-08-25,call,0.710940390625,1.0,284.0,53.99,56.8,55.93,55.395,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.713785,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.0937457585738877,55.43648044672193,-0.0414804467219269,-0.0007482518079731,0.0414804467219269,,2.809999999999995,0.0507265998736347,0.0896082808068654,0.0523423922590207,24.01348264387177,6.345636360828596,1,0,1,0,0
SPY20250825C00600000,SPY,600.0,2025-08-25,call,0.5493209130859377,21.0,15.0,44.0,46.3,45.0,45.15,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.713785,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.0755166625976562,45.4092568267082,-0.2592568267082029,-0.0057093386861094,0.2592568267082029,,2.299999999999997,0.0509413067552601,0.0728011624904842,0.0523423922590207,18.554450395916355,5.863631175598098,1,0,1,0,0
SPY20250825C00605000,SPY,605.0,2025-08-25,call,0.5562788513183594,5.0,8.0,39.0,41.81,40.41,40.405,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.713785,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.0666280951381717,40.46192927180812,-0.0569292718081158,-0.0014069836222016,0.0569292718081158,,2.8100000000000023,0.0695458482861032,0.0645023596757891,0.0523423922590207,18.78946915583588,3.9889840465642745,1,0,1,0,0
SPY20250825C00608000,SPY,608.0,2025-08-25,call,0.5236864038085938,3.0,1.0,36.0,38.8,36.11,37.4,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.714803,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.0613651275634766,37.46769405684893,-0.0676940568489286,-0.0018067313335648,0.0676940568489286,,2.799999999999997,0.0748663101604277,0.0595559357404636,0.0523423922590207,17.688591806739133,2.079441541679836,1,0,1,0,0
SPY20250825C00609000,SPY,609.0,2025-08-25,call,0.5129443237304687,43.0,36.0,35.0,37.8,36.21,36.4,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.714803,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.05962232768242,36.469995555089326,-0.0699955550893278,-0.0019192641519135,0.0699955550893278,,2.799999999999997,0.0769230769230768,0.0579125499967335,0.0523423922590207,17.325755826512484,7.395107546562485,1,0,1,0,0
SPY20250825C00610000,SPY,610.0,2025-08-25,call,0.5024463818359376,33.0,14.0,34.0,36.8,35.32,35.4,645.3099975585938,0.0408799982070922,2025-08-23 16:39:40.714803,0.0027397260273972,yahoo_finance,2025-08-22 16:39:41.671421,1.057885241899334,35.472759889935105,-0.0727598899351065,-0.002051148265905,0.0727598899351065,,2.799999999999997,0.07909604519774,0.0562718605392737,0.0523423922590207,16.971166118563723,6.234410725718371,1,0,1,0,0
